id,code,name,account_type,type_currency,status,balance,date_modification,date_creation,changed,quantitative,subject_account,full_name,check_excess_balance,created_by
700397,1012,Заказанные материалы на складах в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1012. Заказанные материалы на складах в пути,Да,System
700410,1017,Сырье и материалы в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,1017. Сырье и материалы в пути,Да,System
700143,1020,Покупные полуфабрикаты и комплектующие изделия,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1020. Покупные полуфабрикаты и комплектующие изделия,Да,System
700144,1030,Топливо,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1030. Топливо,Да,System
700145,1040,Запасные части,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1040. Запасные части,Да,System
700413,1041,Запасные части на складах в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1041. Запасные части на складах в пути,Да,System
700414,1042,Заказанные запасные части в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1042. Заказанные запасные части в пути,Да,System
700415,1043,Запасные части в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1043. Запасные части в пути,Да,System
700146,1050,Строительные материалы,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1050. Строительные материалы,Да,System
700147,1060,Тара и тарные материалы,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1060. Тара и тарные материалы,Да,System
700148,1070,"Материалы, переданные в переработку на сторону",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,"1070. Материалы, переданные в переработку на сторону",Да,System
700149,1080,Инвентарь и хозяйственные принадлежности,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1080. Инвентарь и хозяйственные принадлежности,Да,System
700400,1081,"Счет для учета оборудования полученного от поставщика, но пока не оприходованного на складе (в пути к владельцу)",Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,"1081. Счет для учета оборудования полученного от поставщика, но пока не оприходованного на складе (в пути к владельцу) ",Да,System
700401,1082,Переданное оборудование клиенту (учет со стороны владельца),Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1082. Переданное оборудование клиенту (учет со стороны владельца),Да,System
700402,1085,На транзите к покупателю,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1084. На транзите к покупателю,Да,System
700412,1087,Инвентарь и хозяйственные принадлежности в пути,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2900. СЧЕТА УЧЕТА ТОВАРОВ,1087. Инвентарь и хозяйственные принадлежности в пути,Да,System
700150,1090,Прочие материалы,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,1000. СЧЕТА УЧЕТА МАТЕРИАЛОВ,1090. Прочие материалы,Да,System
700151,1110,Животные на выращивании,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,1100. СЧЕТА УЧЕТА ЖИВОТНЫХ НА ВЫРАЩИВАНИИ И ОТКОРМЕ,1110. Животные на выращивании,Да,System
700152,1120,Животные на откорме,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,1100. СЧЕТА УЧЕТА ЖИВОТНЫХ НА ВЫРАЩИВАНИИ И ОТКОРМЕ,1120. Животные на откорме,Да,System
700153,1510,Заготовление и приобретение материалов,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,1500. СЧЕТА УЧЕТА  ЗАГОТОВЛЕНИЯ И ПРИОБРЕТЕНИЯ МАТЕРИАЛОВ,1510. Заготовление и приобретение материалов,Да,System
700154,1610,Отклонения в стоимости материалов,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,1600. СЧЕТА УЧЕТА ОТКЛОНЕНИЙ В СТОИМОСТИ МАТЕРИАЛОВ,1610. Отклонения в стоимости материалов,Да,System
700391,1620,ТМЦ на списание по корректировке,Активный,Только в базовой валюте,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,1600. СЧЕТА УЧЕТА ОТКЛОНЕНИЙ В СТОИМОСТИ МАТЕРИАЛОВ,1620. ТМЦ на списание по корректировке,Да,System
700390,1630,ТМЦ на списание,Активный,Только в базовой валюте,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,1600. СЧЕТА УЧЕТА ОТКЛОНЕНИЙ В СТОИМОСТИ МАТЕРИАЛОВ,1630. ТМЦ на списание,Да,System
700155,2010,Основное производство,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,2000. СЧЕТА УЧЕТА ОСНОВНОГО ПРОИЗВОДСТВА,2010. Основное производство,Да,System
700156,2110,Полуфабрикаты собственного производства,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2100. СЧЕТА УЧЕТА ПОЛУФАБРИКАТОВ СОБСТВЕННОГО ПРОИЗВОДСТВА,2110. Полуфабрикаты собственного производства,Да,System
700157,2140,Полуфабрикаты по плановой себестоимости,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Да,2100. СЧЕТА УЧЕТА ПОЛУФАБРИКАТОВ СОБСТВЕННОГО ПРОИЗВОДСТВА,2140. Полуфабрикаты по плановой себестоимости,Да,System
700158,2310,Вспомогательное производство,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,2300. СЧЕТА УЧЕТА ВСПОМОГАТЕЛЬНЫХ ПРОИЗВОДСТВ,2310. Вспомогательное производство,Да,System
700159,2510,Общепроизводственные расходы,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,2500. СЧЕТА УЧЕТА ОБЩЕПРОИЗВОДСТВЕННЫХ РАСХОДОВ,2510. Общепроизводственные расходы,Да,System
700160,2610,Брак в производстве,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,2600. СЧЕТА УЧЕТА БРАКА В ПРОИЗВОДСТВЕ,2610. Брак в производстве,Да,System
700161,2710,Обслуживающие хозяйства,Активный,Все валюты,Активный,Да,29.05.2024 19:41:03,29.05.2024 19:41:03,System,Нет,2700. СЧЕТА УЧЕТА ОБСЛУЖИВАЮЩИХ ХОЗЯЙСТВ,2710. Обслуживающие хозяйства,Да,System
