order_id,type_return,cost_price
97939106,Возврат/Закупка,-248100
97939514,Возврат/Закупка,-322950.5
97939570,Возврат/Закупка,-909700
97939939,Заказ,348322184.16
97947658,Заказ,297998.4
97958387,Заказ,1099840
97967130,Заказ,3006200
97991508,Заказ,100.71
97992843,Возврат/Закупка,-203817600
97993500,Заказ,1493490.06
97993665,Заказ,1879640
97993667,Заказ,909281.43
97994125,Заказ,1277360.87
97994622,Заказ,144485
97995664,Заказ,85000
98003211,Заказ,1256234.4
98005555,Заказ,2655608
98008369,Заказ,2503.2
98011136,Заказ,21380666.4
98011240,Заказ,26743654.96
98013238,Возврат/Закупка,-1547148.17
98014321,Возврат/Закупка,-130704
98014485,Возврат/Закупка,-20442.8
98014561,Возврат/Закупка,-68800
98021811,Возврат/Закупка,-187421.8
98022464,Заказ,10508
102512236,Заказ,121956862.41
102513771,Заказ,307188
102514213,Заказ,3031376
102522489,Заказ,3319065.1
102531063,Заказ,14720160
102549288,Заказ,348500
102556087,Заказ,1787.4
102557870,Заказ,121.6
102562672,Заказ,1036030.04
102573847,Заказ,48815014.87
102575324,Заказ,452445000
102579316,Заказ,900.76
102579716,Заказ,9500000
102613158,Заказ,6084940.54
103327139,Заказ,5519.17
103358955,Заказ,6878682.07
103359753,Заказ,234847.9
103366753,Заказ,6879741.07
103368021,Заказ,4311775.67
103368514,Заказ,2403365.1
103368811,Заказ,2417714.2
103369656,Заказ,10947991.29
103369699,Заказ,10947991.29
103370478,Возврат/Закупка,-5539.52
103371285,Заказ,1
103371410,Заказ,3000000
103371679,Заказ,7473312
103373100,Заказ,5737428.36
103381396,Заказ,1563957.9
103382908,Заказ,2061223.54
103389563,Заказ,680
103389798,Заказ,2244765.92
103406335,Заказ,36827992.32
103409551,Заказ,3662722.88
103409734,Заказ,4210694.08
103410156,Заказ,2883433.65
103410204,Заказ,4372146.38
103411093,Заказ,5804450.79
103416544,Заказ,1771673
103416715,Заказ,254000
103418186,Заказ,534862.39
103433976,Заказ,113.74
103439434,Заказ,2363625.6
103449460,Заказ,5122000
103467536,Заказ,799564.42
103468093,Заказ,133680
103468642,Заказ,1687959.96
103469143,Заказ,1619527.96
103477034,Заказ,10684844.79
103481823,Заказ,15000
103482135,Заказ,762000
103484948,Заказ,5200000
103484956,Заказ,5200000
103484966,Заказ,5200000
103843192,Заказ,2707035.2
103843329,Заказ,310000
103843467,Заказ,25000
103848682,Заказ,76327686.76
103862176,Заказ,480
103874163,Заказ,130.61
103894582,Заказ,688.07
103900237,Заказ,84137.74
